タイムスタンプ,ID,Student ID (学籍番号),Age (年齢),Gender (性別),母国語,システム使用言語,システム使用言語のレベル,  Do you own a smart speaker?  （スマートスピーカーを所有していますか？）,"If yes, which type?(所有している場合は、機種を)",Do you regularly use smart home devices?　(スマート家電を日常的に使っていますか？),How have you operated smart home devices? (スマート家電の操作方法として使ったことがあるもの)
2025/06/27 16:50:18,P13,62216404,22,Male （男性）,Japanese,日本語,5,No (いいえ),,Never used （使ったことない）,使ったことがない
2025/06/27 18:50:16,P14,82518779,22,Male （男性）,日本語,日本語,5,No (いいえ),,Rarely (a few times a year or less) （ごく）,Voice Control (音声認識)
2025/06/27 20:15:12,P15,82518872,24,Female （女性）,japanese ,日本語,5,No (いいえ),,Rarely (a few times a year or less) （ごく）,Mobile App (モバイルアプリケーション)
2025/06/28 18:00:24,P16,2,25,Female （女性）,日本語,日本語,5,Yes (はい),Alexa,Almost every day (5–7 days per week)   （ほぼ毎日）,Voice Control (音声認識)
2025/06/28 19:48:48,P17,3,26,Male （男性）,Japanese,日本語,5,Yes (はい),Amazon Echo,Almost every day (5–7 days per week)   （ほぼ毎日）,Voice Control (音声認識)
2025/06/30 14:36:26,P18,4,31,Male （男性）,日本語,日本語,5,Yes (はい),アレクサ,Several times a week (2–4 days per week) （1週間に数日）,Voice Control (音声認識)
2025/06/30 17:27:20,P19,82420286,23,Male （男性）,日本語,英語,3,No (いいえ),,Never used （使ったことない）,
2025/07/01 11:51:00,P20,82418456,23,Male （男性）,日本語,日本語,5,Yes (はい),アレクサ,About once a month （1か月に一回）,"Voice Control (音声認識), Mobile App (モバイルアプリケーション)"
2025/07/01 15:38:32,P21,82417583,23,Male （男性）,日本語,日本語,5,No (いいえ),,Never used （使ったことない）,
2025/07/02 14:12:57,P22,82518359,22,Male （男性）,進健悟,日本語,5,No (いいえ),,Rarely (a few times a year or less) （ごく）,Voice Control (音声認識)
2025/07/03 11:27:50,P23,82420414,23,Male （男性）,日本語,日本語,5,No (いいえ),,Never used （使ったことない）,"Voice Control (音声認識), Mobile App (モバイルアプリケーション)"
2025/07/03 15:57:09,P24,82319677,25,Male （男性）,日本語,日本語,5,No (いいえ),,Never used （使ったことない）,
2025/07/28 9:22:00,P1,82518872,24,Female （女性）,日本語,日本語,5,No (いいえ),,Rarely (a few times a year or less) （ごく）,"Voice Control (音声認識), Mobile App (モバイルアプリケーション)"
2025/07/28 13:14:28,P2,824184567,23,Male （男性）,日本語,日本語,5,Yes (はい),アレクサ,Rarely (a few times a year or less) （ごく）,"Voice Control (音声認識), Mobile App (モバイルアプリケーション)"
2025/07/29 9:28:27,P3,82346968,27,Female （女性）, 日本語,日本語,5,No (いいえ),,Never used （使ったことない）,
2025/07/30 11:25:29,P4,62209443,21,Male （男性）,日本語,日本語,5,Yes (はい),アレクサ,Several times a week (2–4 days per week) （1週間に数日）,Voice Control (音声認識)
2025/07/30 15:07:24,P5,62213742,21,Male （男性）,japanese,日本語,5,No (いいえ),,About once a month （1か月に一回）,"Voice Control (音声認識), Mobile App (モバイルアプリケーション)"
2025/07/30 16:29:31,P6,62206242,21,Male （男性）,日本語,日本語,5,No (いいえ),,Never used （使ったことない）,なし
2025/07/31 11:16:32,P7,62216404,22,Male （男性）,Japanese,日本語,5,No (いいえ),,Never used （使ったことない）,none
2025/07/31 13:24:37,P8,82517809,23,Female （女性）,Japanese,日本語,5,No (いいえ),,Never used （使ったことない）,なし
2025/08/01 13:38:37,P9,62214418,21,Male （男性）,日本語,日本語,5,No (いいえ),,Rarely (a few times a year or less) （ごく）,Mobile App (モバイルアプリケーション)
2025/08/01 16:01:16,P10,82517984,22,Male （男性）,日本語,日本語,5,Yes (はい),Alexa echo show8,Almost every day (5–7 days per week)   （ほぼ毎日）,Voice Control (音声認識)
2025/08/02 13:18:22,P11,4,31,Male （男性）,日本,日本語,5,Yes (はい),アレクサ,About once a week （1週間に一回程度）,Voice Control (音声認識)
2025/08/02 15:26:26,P12,82418785,23,Male （男性）,日本語,日本語,5,No (いいえ),,Never used （使ったことない）,
2025/08/05 14:04:02,P13,82419357,23,Male （男性）,日本語,日本語,5,No (いいえ),,Never used （使ったことない）,なし
2025/08/05 15:50:56,P14,82518004,22,Male （男性）,日本語,日本語,5,No (いいえ),,Rarely (a few times a year or less) （ごく）,Voice Control (音声認識)
2025/09/16 11:10:50,P15,82420414,24,Male （男性）,日本語,日本語,5,No (いいえ),,Never used （使ったことない）,
2025/09/23 11:15:06,P16,62205915,21,Male （男性）,Japanese,日本語,5,No (いいえ),,Rarely (a few times a year or less) （ごく）,Voice Control (音声認識)
2025/10/02 13:43:53,P17,82518779,22,Male （男性）,日本語,日本語,5,No (いいえ),,Never used （使ったことない）,なし
2025/10/07 11:38:57,P18,82518794,23,Male （男性）,日本語,日本語,5,Yes (はい),アレクサ,About once a week （1週間に一回程度）,Mobile App (モバイルアプリケーション)
2025/10/07 13:07:36,P19,5,24,Male （男性）,日本語,日本語,5,No (いいえ),,Never used （使ったことない）,
2025/10/07 15:08:13,P20,62518359,22,Male （男性）,日本語,日本語,5,Yes (はい),あれくさ,Rarely (a few times a year or less) （ごく）,Mobile App (モバイルアプリケーション)
2025/10/12 17:55:28,P21,tooyama,24,Male （男性）,japanese,日本語,5,Yes (はい),echo dot,Almost every day (5–7 days per week)   （ほぼ毎日）,"Voice Control (音声認識), Mobile App (モバイルアプリケーション)"
2025/10/13 14:28:21,P22,6,24,Male （男性）,日本語,日本語,5,No (いいえ),,Rarely (a few times a year or less) （ごく）,"Voice Control (音声認識), Mobile App (モバイルアプリケーション)"
2025/10/15 11:59:57,P23,82417492,23,Male （男性）,日本語,日本語,5,No (いいえ),,Never used （使ったことない）,Voice Control (音声認識)
2025/10/18 16:48:15,P24,P24,23,Male （男性）, 日本語,日本語,5,Yes (はい),アレクサ,Almost every day (5–7 days per week)   （ほぼ毎日）,Voice Control (音声認識)
