Condition,ConditionName,ID,FreeDescription,FreeDescription2
1,SpatialReference Only,P19,「視界の中央」が一番通りやすかったので、数が少ないものは全部それでやりました,
1,SpatialReference Only,P20,"使いやすかったが、本当にこの指示で大丈夫なのか自信を持てないときもあった。
また、意図しない電気がついてしまうこともあった
しかし、まとめてつけれられるのはとても便利に感じた",
1,SpatialReference Only,P21,部屋の状態を理解しているのか不安になった。,
1,SpatialReference Only,P22,自分の相対的な位置から、特定のライトの場所を例えば、右奥、上などの指示をしてみてもあまり精度の良い結果が得られなかった。複数のライトを同時に点けるための指示はあまり精度がよくなく、ただし、一つまたは二つのライトの場所を同時に指示することは正確に動いた。,
1,SpatialReference Only,P23,連続して並んでいるが、異なる色のライトをつけるタスクは特に難しかった。これなら各ライトに名称をつけるタスクの方がやりやすいと感じた。,

=== Condition 2: SpatialReference + Pointing ===,,,,
2,SpatialReference + Pointing,P2,体調がいいと操作しやすい,
2,SpatialReference + Pointing,P3,,方向の指示ができない場合と比べてどのように指示したらよいかが即時に判断できました。
2,SpatialReference + Pointing,P5,指示を分けるときが明確であったと感じた,選択できるため、操作性が高いと感じた。複雑な指示にも対応できそう
2,SpatialReference + Pointing,P6,3つ選択して「点けて」と指示を出すだけでは視界にある一つしかつかなかったりと、命令の具体性が必要になる場面が稀にあった。全体としては選択した中でどのライトをどうつけるのかを考えることは難しいことではなかったため、指示を出しやすく使いやすい印象を受けた。,空間参照に比べて、発する言葉が少ないためストレスも少なく感じた。ただし、背後にあるライトをポインタで指定する際などは体勢を大きく変えなければならない場合もあり、その点は多少ストレスを生むように感じた。
2,SpatialReference + Pointing,P7,操作したいライトの数が制限されている状態では、このシステムはうまく統合されており、適切に早く快適に動作を行うことができる。,"操作がしやすかった。
時間的にも音声認識のものより時間がかからなかった"
2,SpatialReference + Pointing,P8,着実にタスクを達成できる点では、使っている際に感じるストレスが少なくてよかった。ただ、家庭で使うにはコントローラで選択しないといけない点が手間に感じそうです,他の方法と比べて、点灯したいライトが指定できるので入力に必要な言葉が少なくなり、結果としてタスクを達成するのが楽に感じた。
2,SpatialReference + Pointing,P10,後ろのウォールライトを、振り向かずに「右、左」と指示できるのがとても楽だった。いつも首がつらいので。,空間参照の精度が非常に高い。素晴らしいシステム。
2,SpatialReference + Pointing,P11,体験した４つの中で一番使いやすかったです。ただ日常生活ではパソコン作業や料理など両手がふさがっている場面では、別の音声のみで命令できる方がよいと思うので場面によるかなと,最初の条件だったので特に比較はできませんでした
2,SpatialReference + Pointing,P12,最も操作しやすかった,すごく使いやすかった。基本的に色だけ話せばいいから。
2,SpatialReference + Pointing,P13,一回ポインティングデバイスを使った指定になれるとそれしか使いたくなくなる,
2,SpatialReference + Pointing,P18,はじめに何色があるかを教えてくれるとやりやすいと思った,
2,SpatialReference + Pointing,P20,"想定外の電気がつくくことは少ないので使いやすい
まとめて指定するときに首が疲れる",
2,SpatialReference + Pointing,P22,天井の電気を見上げながら、右、真ん中、左という指示をしている間、頭を固定させる必要があったため、少しでもぶれてしまうと望んだ結果が得られなかった。それ以外は、基本問題なく動いた。,
2,SpatialReference + Pointing,P23,無駄にライトをつけることがなくて、タスクを比較的こなしやすかった。,

=== Condition 3: Pointing Only ===,,,,
3,Pointing Only,P5,確実に指定したものを実現できるが、少し時間のかかるものであった,空間参照＋ポインティングと比べて時間がかかってしまうように感じた。しかしすべて確実に遂行することができた。
3,Pointing Only,P6,ライトの色が限られている日常生活などでは有用だと感じたが、一方で複数の色を扱う場合は色の数だけ必要な指示回数が増加するため、よりストレスフルになる可能性があると感じた。ただし、一回ごとの指示が長文にならず、「点けて」や「（色）」といった単語でも完結する点は好感を持った。,指定のライトを単色で付ける分にはもう一方のポインティングのものと大きな差はないが、複数の色を指定しなければならない場合は色の数だけ実行しなければならないためストレスが増すように感じた。また、「〇色につけて」という指示を出した際に、その色につく場合とつかない場合があり一貫性が少し欠けているように感じられたため、その点からも不必要にストレスが発生してしまう可能性があるように感じた。
3,Pointing Only,P7,場所を間違えることがあり得ないので、その部分での精神的な負担が少なかった,これまでに行った３つの操作方法の中でも、最も単純な操作で覚えやすかった。
3,Pointing Only,P8,ライトを複数色同時に光らせることができない点が、少し負担に感じました。,選択式で、かつ左右を指定できる条件と比べて、異なる色のライトは別で入力しなければならないのは面倒だが、結果の予測は容易なのでその点では使いやすかったです。
3,Pointing Only,P9,,空間情報がないので一つずつ行う必要があるところがほかの方法と比べて不便に感じた
3,Pointing Only,P10,,推論が制限されているので、指示を正確にする必要があり、面倒だった。
3,Pointing Only,P11,前回と比べて操作が上達したと思いました,pointing + spatial条件のほうが使いやすかったです。「右から・・・」みたいな指示ができると便利だと思いました
3,Pointing Only,P12,使いやすかった。ライトの選択は手動で、色の指定は言葉でできるのはよいと思った。あいまいさがなくなるので。,指定できないよりは便利だった。しかし、色を同時に指定できないのは不便だ。
3,Pointing Only,P13,一定の複雑さを持つ配色が求められる時とかに左右とかの情報が役立つと実感した,
3,Pointing Only,P20,一つ一つやるのは面倒だが、間違えづらく安心感があった,
3,Pointing Only,P22,"ヘッドセットを長時間点けて操作するのは多少疲れました。
LLMは多少の音声誤認識にも対応していたため、ある程度の指示であれば問題なくライトをつけることができるという点で、特に不便を感じませんでした。",

=== Condition 4: Label ===,,,,
4,Label,P5,他のものと比べて、最初の覚える作業にだいぶ負担を感じた,LLMの認識精度が上がるといいと思いました。
4,Label,P6,"「shelf light3，6，9を点けて」といった時にshelf light3,9とceiling light6が点いたことがあった点から、システムの一貫性に欠ける部分があるように感じた。ライトの名前が本実験のように機械的につけられたものであり、また数が多いと、使用者に混乱を招く可能性が高いように感じた。あらかじめ（使用頻度などで）グループ分けし、そのグループに名前を付けておけば、日常生活で使用する場合は多少使いやすくなるのではないかと感じた。",一度覚えてしまえば、手をほとんど動かさずにライトをつけることができ、またほかの作業をしながらでもできそうであるため、非常に便利に感じた。一方で、ライトが増えたり、その名前が複雑になればなるほど使用感が悪くなるのではないかというようにも感じた。
4,Label,P7,it depends on the quality of word recognition,場所と名前を正確に覚えるために脳のリソースをかなり使ってしまったので、生活で使う上では利便性は高くないと感じました。
4,Label,P8,確実にタスクを達成するために、番号で特定のライトを指定できるところが扱いやすかったです,一分でライトの名前を覚えきれませんでした。LLMは送信した内容を正確に反映してくれたのがよかったです。
4,Label,P10,,数字の並び順がアイテムによって違うのがすこしややこしく感じました
4,Label,P11,音声入力は両手がふさがっているなど、マルチタスク中は有効だと思いました。あと、いかに簡単な命令で正しい指示が出せるかという点,音声認識は声が枯れるから、何度も指示を出すのが大変でした
4,Label,P12,名前を覚えて思い出す点が、精神的負担となった。,ライトの数が多い今回の環境では、名称をすべて覚える必要があり、難しい操作方法だ。しかし、ライトが少ない環境なら、とても便利で使いやすいと感じた。
4,Label,P20,"数字や名前を覚えることはとても負担だった。
指定するときも柔軟性がなく面倒だった",
4,Label,P22,ライトの名前を覚えなくてはいけない点、定められた名前で指示を出さなければいけない点は少し大変だった。自分で特定のライトを定めて認識させる動作はユーザーの使いやすさを半減させているように感じた。,
4,Label,P23,各ライトの番号を覚えるのに時間を要した,
