タイムスタンプ,ID,Condition,"I think that I would like to use this system frequently.
（このシステムを頻繁に使用したいと思います。）","I found the system unnecessarily complex.
（このシステムは不必要に複雑だと感じました。）","I thought the system was easy to use.
（このシステムは簡単に使えると感じました。）","I think that I would need the support of a technical person to be able to use this system.
（このシステムを使うには技術的なサポートが必要だと思いました。）","I found the various functions in this system were well integrated.
（このシステムのさまざまな機能はうまく統合されていると感じました。）","I thought there was too much inconsistency in this system.
（このシステムには一貫性がないと感じました。）","I would imagine that most people would learn to use this system very quickly.
（ほとんどの人がこのシステムをすぐに使いこなせると思います。）","I found the system very cumbersome to use.
（このシステムは使いづらいと感じました。）","I felt very confident using the system.
（このシステムを使用する際、自信を持って使えました。）","I needed to learn a lot of things before I could get going with this system.
（このシステムを使い始める前に、多くのことを学ぶ必要がありました。）",Learning to operate this smart speaker system would be easy for me.（このスマートスピーカーの操作を学ぶのは簡単だと思います）,I would find it easy to get this system to do what I want it to do.（自分の望むようにシステムを操作するのは簡単だと思います） ,My interaction with this system would be clear and understandable.（このシステムとのやりとりは分かりやすいと思います） ） ,I would find this system to be flexible to interact with.（このシステムは柔軟に操作できると思います） ,It would be easy for me to become skillful at using this system.（このシステムを使いこなせるようになるのは簡単だと思います） ,I would find this system easy to use.（このシステムは使いやすいと思います） ,Using this smart speaker system in my home would enable me to accomplish tasks more quickly.（このスマートスピーカーを使うことで、タスクをより早く完了できると思います） ,Using this system would improve my performance in managing home-related tasks.（このシステムを使うことで、家庭関連の作業の効率が上がると思います） ,Using this smart speaker system in my home would increase my productivity in daily routines.（このスマートスピーカーを使うことで、日常の作業がより生産的になると思います） ,Using this system would enhance my effectiveness in everyday smart home usage.（このシステムを使うことで、スマートホームの操作がより効果的になると思います） ,Using this system would make it easier to do my daily home tasks.（このシステムを使うことで、日常の家庭作業がより簡単になると思います） ,would find this smart speaker system useful in my home life.（このスマートスピーカーは家庭生活において役立つと思います） ,  I am confident in the system.（私はこのシステムに自信を持っています）  ,The system provides security.（このシステムは安全性を提供します） ,The system has integrity.（このシステムには誠実さがあります） ,The system is dependable.（このシステムは信頼できます） ,The system is reliable.（このシステムは安定して動作します） ,I can trust the system.（私はこのシステムを信頼できます） ,I am familiar with the system.（私はこのシステムに慣れ親しんでいます） ,The system is deceptive.（このシステムは人を欺きます） ,The system behaves in an underhanded manner.（このシステムは不正な振る舞いをします） ,"I am suspicious of the system's intent, action, or outputs.（このシステムの意図・動作・出力に疑いを持っています） ",I am wary of the system.（私はこのシステムに警戒心を抱いています） ,The system's actions will have harmful or injurious outcome.（このシステムの行動は有害な結果をもたらす可能性があります） ," How mentally demanding was the task?（このタスクはどれくらい精神的に負担がありましたか？）
1: Strongly Disagree 
21: Strongly Agree"," How physically demanding was the task?（このタスクはどれくらい身体的に負担がありましたか？）
1: Strongly Disagree 
21: Strongly Agree"," How hurried or rushed was the pace of the task?（このタスクのペースはどれくらい急かされるものでしたか？）
1: Strongly Disagree 
21: Strongly Agree","How successful were you in accomplishing what you were asked to do?（求められたことをどれくらいうまく達成できたと思いますか？）
1: Strongly Disagree 
21: Strongly Agree","How hard did you have to work to accomplish your level of performance?（その成果を達成するために、どれくらい努力しましたか？）
1: Strongly Disagree 
21: Strongly Agree","How insecure, discouraged, irritated, stressed, and annoyed were you?（不安・落胆・苛立ち・ストレス・いら立ちはどの程度感じましたか？）
1: Strongly Disagree 
21: Strongly Agree",Free Description (自由記述),SUS,TAM_PEOU,TAM_PU,Trust_Positive,Trust_Negative,Trust_All,NASA_TLX
2025/07/30 11:47:31,P4,1,3,2,4,2,3,2,3,3,2,1,5,2,5,3,3,4,5,5,5,5,4,5,3,3,2,3,3,3,4,5,5,5,5,4,10,9,5,18,8,12,,62.5,3.6666666666666665,4.833333333333333,2.8,1.6,2.2,8.5
2025/07/30 12:00:54,P4,2,5,1,5,2,5,1,5,1,5,1,7,6,7,6,6,7,7,7,7,6,6,7,6,6,6,7,7,7,5,2,3,2,2,2,4,5,4,19,5,4,,97.5,6.5,6.666666666666667,6.4,2.2,4.3,6.0
2025/07/30 12:11:54,P4,3,4,1,5,1,2,2,5,1,5,1,7,7,7,6,7,6,4,4,4,4,5,5,7,7,7,7,7,7,7,1,1,1,1,1,3,3,3,20,3,3,,87.5,6.666666666666667,4.333333333333333,7.0,2.6,4.8,5.166666666666667
2025/07/30 15:10:18,P5,1,4,2,4,5,4,2,3,3,2,4,5,6,4,6,6,4,5,4,6,6,5,4,5,7,7,5,4,5,7,1,1,2,1,1,5,2,１,15,16,8,,52.5,5.166666666666667,5.0,5.6,2.8,4.2,4.166666666666667
2025/07/30 15:22:02,P5,2,5,2,5,2,5,1,5,2,5,3,7,7,7,7,7,7,7,7,7,7,6,6,7,7,6,7,7,7,7,1,1,1,1,1,１,3,１,17,6,2,指示を分けるときが明確であったと感じた,87.5,7.0,6.666666666666667,6.8,2.6,4.7,4.0
2025/07/30 15:33:11,P5,3,3,2,5,2,2,1,5,2,5,2,7,7,7,6,7,5,2,3,4,3,3,6,7,7,7,7,7,7,7,1,1,1,1,1,11,5,14,20,13,11,"確実に指定したものを実現できるが、少し時間のかかるものであった
",77.5,6.5,3.5,7.0,2.6,4.8,8.666666666666666
2025/07/30 15:47:24,P5,4,4,4,2,5,2,1,2,5,2,5,2,3,3,2,1,2,5,5,4,5,4,3,3,7,5,5,4,5,3,1,1,1,1,1,14,7,5,15,21,6,他のものと比べて、最初の覚える作業にだいぶ負担を感じた,30.0,2.1666666666666665,4.333333333333333,4.8,3.8,4.3,7.166666666666667
2025/07/30 16:38:22,P6,2,4,2,5,2,4,3,4,2,5,1,6,6,6,6,5,6,6,6,5,6,5,5,6,7,6,6,6,6,3,2,1,2,1,1,5,4,3,19,8,5,3つ選択して「点けて」と指示を出すだけでは視界にある一つしかつかなかったりと、命令の具体性が必要になる場面が稀にあった。全体としては選択した中でどのライトをどうつけるのかを考えることは難しいことではなかったため、指示を出しやすく使いやすい印象を受けた。,80.0,5.833333333333333,5.5,6.2,3.2,4.7,5.5
2025/07/30 16:53:12,P6,3,4,1,5,1,5,1,5,2,5,1,7,7,7,2,7,5,5,6,6,6,6,7,7,7,7,7,7,7,3,1,1,1,1,1,7,6,3,20,3,9,ライトの色が限られている日常生活などでは有用だと感じたが、一方で複数の色を扱う場合は色の数だけ必要な指示回数が増加するため、よりストレスフルになる可能性があると感じた。ただし、一回ごとの指示が長文にならず、「点けて」や「（色）」といった単語でも完結する点は好感を持った。,95.0,5.833333333333333,6.0,7.0,3.4,5.2,6.333333333333333
2025/07/30 17:16:51,P6,4,4,2,4,1,5,2,3,3,4,3,7,5,7,3,4,5,6,6,5,6,6,7,5,7,5,6,6,6,3,2,2,2,1,1,13,3,2,16,11,10,"「shelf light3，6，9を点けて」といった時にshelf light3,9とceiling light6が点いたことがあった点から、システムの一貫性に欠ける部分があるように感じた。ライトの名前が本実験のように機械的につけられたものであり、また数が多いと、使用者に混乱を招く可能性が高いように感じた。あらかじめ（使用頻度などで）グループ分けし、そのグループに名前を付けておけば、日常生活で使用する場合は多少使いやすくなるのではないかと感じた。",72.5,5.166666666666667,6.0,5.8,3.0,4.4,6.0
2025/07/30 17:47:26,P6,1,3,3,2,2,5,3,3,4,2,2,5,3,4,6,4,4,4,4,3,5,4,5,3,7,4,4,4,4,3,3,2,5,1,1,17,19,5,13,19,14,空間認識という点から、自身からの距離や方向が主要な情報として扱われる要素であるように感じるが、対象のライトの数が多く、同じような距離、方向に複数のライトがあった場合にそれらを区別するように指示を出すのが難しいように感じた。次に選択肢を視界に入るものに絞ることでライトの指定ができるが、視界の境界があいまいで、かつ処理の間一点を見つめ続けなければいけないことから身体的な負担も増加するように感じた。自然と指示が長くなることが多くなり、結果としてLLMの処理にかかる時間もほかのタスク時よりも比較的多くなるようにも感じた。家庭内などライトがそこまで多くない環境ではある程度性能が発揮されるかもしれないが、ライトの数や配置で難易度が増大し汎用性が下がるように感じた。,52.5,4.333333333333333,4.166666666666667,4.4,2.6,3.5,9.333333333333334
2025/07/31 11:20:49,P7,3,5,1,5,3,3,1,4,1,5,3,6,5,7,7,7,7,7,5,5,6,6,7,7,7,7,7,7,7,6,2,1,1,3,2,3,8,4,19,3,2,場所を間違えることがあり得ないので、その部分での精神的な負担が少なかった,82.5,6.5,6.0,7.0,2.6,4.8,6.5
2025/07/31 11:47:02,P7,4,2,4,1,1,3,4,1,4,1,1,7,2,7,4,1,1,1,1,2,4,4,4,2,4,2,2,1,2,4,5,5,6,5,5,15,3,15,5,20,13,it depends on the quality of word recognition,35.0,3.6666666666666665,2.6666666666666665,2.2,1.6,1.9,8.0
2025/07/31 12:08:42,P7,1,2,4,4,1,2,4,2,4,2,1,7,2,5,3,2,2,4,4,4,5,5,5,3,3,2,4,2,3,2,4,5,6,6,4,16,17,7,8,6,16,自分の視界を基準とすることで正確に操作をすることができるが、身体的な負担が大きくなるという懸念がある,45.0,3.5,4.5,2.8,2.0,2.4,9.666666666666666
2025/07/31 12:21:01,P7,2,5,3,3,2,5,1,3,1,5,4,4,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,6,5,2,2,3,2,2,3,3,１,20,10,3,操作したいライトの数が制限されている状態では、このシステムはうまく統合されており、適切に早く快適に動作を行うことができる。,75.0,6.166666666666667,7.0,7.0,2.4,4.7,5.166666666666667
2025/07/31 13:29:53,P8,4,4,2,4,2,4,2,4,2,4,2,2,5,5,5,5,5,5,6,5,6,5,5,5,5,6,5,5,5,4,2,2,2,1,2,6,5,１,19,4,6,確実にタスクを達成するために、番号で特定のライトを指定できるところが扱いやすかったです,75.0,4.5,5.333333333333333,5.2,3.0,4.1,5.666666666666667
2025/07/31 13:53:35,P8,1,3,2,3,3,4,2,3,2,3,1,6,5,5,4,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,2,2,3,2,2,9,9,１,15,13,9,,65.0,5.0,5.0,5.2,2.6,3.9,6.333333333333333
2025/07/31 14:12:28,P8,2,4,2,4,2,4,2,4,2,5,2,5,7,6,5,6,6,6,5,5,5,5,5,6,5,6,6,6,6,4,2,2,1,2,2,6,7,１,19,5,4,着実にタスクを達成できる点では、使っている際に感じるストレスが少なくてよかった。ただ、家庭で使うにはコントローラで選択しないといけない点が手間に感じそうです,77.5,5.833333333333333,5.166666666666667,5.8,3.0,4.4,6.166666666666667
2025/07/31 14:29:21,P8,3,3,2,4,2,3,2,4,3,5,2,6,6,6,4,6,5,5,5,5,5,5,5,6,6,6,6,6,6,5,2,2,2,2,2,7,7,3,19,6,7,ライトを複数色同時に光らせることができない点が、少し負担に感じました。,70.0,5.5,5.0,6.0,2.6,4.3,6.666666666666667
2025/08/01 13:43:37,P9,1,3,4,3,4,4,1,2,4,3,1,4,3,5,4,4,3,3,3,3,3,3,4,4,5,5,5,4,4,4,1,1,1,1,4,15,10,5,10,15,12,,52.5,3.8333333333333335,3.1666666666666665,4.6,3.8,4.2,7.5
2025/08/01 13:56:43,P9,2,4,2,5,1,4,1,5,1,5,2,6,7,7,7,6,6,6,6,6,7,6,6,6,6,7,6,7,6,6,2,1,1,1,2,5,13,5,20,10,5,,90.0,6.5,6.166666666666667,6.4,2.8,4.6,7.666666666666667
2025/08/01 14:06:04,P9,3,4,1,4,1,4,1,4,1,5,1,6,6,6,5,7,5,6,6,6,6,6,6,6,7,7,6,7,6,6,1,1,1,1,2,8,12,5,20,8,5,,90.0,5.833333333333333,6.0,6.6,3.0,4.8,8.0
2025/08/01 14:22:28,P9,4,3,4,2,1,4,3,1,5,3,4,3,3,4,3,3,3,3,3,3,3,3,3,4,3,5,5,3,4,3,4,3,2,2,4,15,10,5,10,15,12,,40.0,3.1666666666666665,3.0,4.0,2.8,3.4,7.666666666666667
2025/08/01 16:06:36,P10,1,2,2,3,3,3,4,2,4,1,2,6,3,5,5,4,3,3,2,3,3,3,3,2,2,2,2,2,2,3,5,5,6,6,5,17,17,5,7,11,21,「正面」の認識精度が悪い。ずれていると感じた。,40.0,4.333333333333333,2.8333333333333335,2.0,1.8,1.9,9.5
2025/08/01 16:17:32,P10,4,4,2,4,1,4,1,2,3,3,5,5,6,7,3,3,6,6,6,6,6,6,6,6,7,7,7,7,7,6,1,1,1,1,1,11,4,4,21,14,１,,62.5,5.0,6.0,6.8,2.8,4.8,7.0
2025/08/01 16:25:25,P10,3,5,1,5,1,5,1,5,1,5,1,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,１,14,１,21,12,2,,100.0,6.666666666666667,7.0,7.0,2.6,4.8,6.5
2025/08/01 16:36:25,P10,2,4,1,5,1,5,1,5,1,5,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,2,1,2,１,１,１,21,１,１,後ろのウォールライトを、振り向かずに「右、左」と指示できるのがとても楽だった。いつも首がつらいので。,97.5,7.0,7.0,7.0,2.4,4.7,4.5
2025/08/02 13:32:15,P11,3,4,2,4,2,4,2,3,2,3,3,5,5,5,5,5,5,6,6,6,6,6,6,5,5,5,5,5,5,5,2,2,2,2,2,5,4,2,18,8,2,前回と比べて操作が上達したと思いました,67.5,5.0,6.0,5.0,2.8,3.9,5.5
2025/08/02 13:59:00,P11,4,3,2,4,2,4,2,3,3,4,4,3,6,6,6,3,4,4,5,5,5,5,6,6,5,5,5,5,5,5,4,4,4,5,5,11,8,6,12,15,13,音声入力は両手がふさがっているなど、マルチタスク中は有効だと思いました。あと、いかに簡単な命令で正しい指示が出せるかという点,62.5,4.666666666666667,5.0,5.2,1.6,3.4,7.833333333333333
2025/08/02 14:20:03,P11,1,4,3,4,4,4,2,3,2,3,2,5,5,5,5,5,5,6,6,6,6,6,6,5,4,5,4,5,5,5,3,4,5,3,4,3,6,4,13,6,5,照明の位置を覚えて命令するよりも直感的なので慣れれば、2つ目の位置を覚えるやり方よりも使いやすくなると思います,62.5,5.0,6.0,4.6,1.6,3.1,5.5
2025/08/02 14:31:59,P11,2,5,2,5,2,4,2,5,1,5,2,6,6,6,6,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,2,1,2,2,2,2,2,2,19,3,2,体験した４つの中で一番使いやすかったです。ただ日常生活ではパソコン作業や料理など両手がふさがっている場面では、別の音声のみで命令できる方がよいと思うので場面によるかなと,87.5,6.333333333333333,6.0,6.0,2.6,4.3,4.833333333333333
2025/08/02 15:31:35,P12,4,4,2,2,1,5,5,2,4,5,4,7,6,7,6,5,6,6,5,6,7,6,6,5,7,7,7,7,7,4,1,1,1,1,1,10,１,１,15,１,15,名前を覚えて思い出す点が、精神的負担となった。,55.0,6.166666666666667,6.0,6.6,3.2,4.9,4.833333333333333
2025/08/02 16:05:16,P12,1,1,5,1,2,2,5,2,4,1,2,7,2,5,5,2,2,4,5,5,5,5,5,3,7,2,2,2,2,2,6,5,7,6,5,19,14,１,１,17,20,ライトが複数ある環境で、この操作使いずらいと思いました。一般の家庭なら便利に使えると思いました,22.5,3.8333333333333335,4.833333333333333,3.2,1.6,2.4,7.666666666666667
2025/08/02 16:22:13,P12,2,5,1,5,1,5,5,5,1,5,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,１,１,１,21,8,3,最も操作しやすかった,90.0,7.0,7.0,7.0,2.6,4.8,4.333333333333333
2025/08/02 16:35:21,P12,3,5,1,5,1,5,1,5,1,5,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,3,3,１,21,5,１,使いやすかった。ライトの選択は手動で、色の指定は言葉でできるのはよいと思った。あいまいさがなくなるので。,100.0,7.0,7.0,7.0,2.6,4.8,5.0
2025/08/05 14:14:13,P13,1,3,4,3,3,4,3,4,2,3,2,4,3,5,6,3,4,4,2,2,6,3,2,5,5,6,5,5,5,4,1,2,2,2,1,8,16,6,13,5,11,真ん中といったときに自分が思った配列の真ん中でなく部屋の真ん中として認識されたタスクがあったのが気になった,57.5,4.166666666666667,3.1666666666666665,5.2,3.2,4.2,7.666666666666667
2025/08/05 14:32:54,P13,2,4,2,5,2,5,2,5,1,5,2,6,7,6,5,7,6,7,5,5,7,5,6,7,6,7,7,6,7,7,1,1,1,1,1,4,8,１,17,5,2,一回ポインティングデバイスを使った指定になれるとそれしか使いたくなくなる,87.5,6.166666666666667,5.833333333333333,6.6,2.6,4.6,5.333333333333333
2025/08/05 14:54:59,P13,3,4,2,4,2,2,1,4,4,5,2,7,6,6,5,7,6,5,5,4,5,5,5,5,6,6,6,5,6,6,1,1,1,1,1,6,13,7,14,4,8,一定の複雑さを持つ配色が求められる時とかに左右とかの情報が役立つと実感した,70.0,6.166666666666667,4.833333333333333,5.6,3.0,4.3,7.0
2025/08/05 15:15:15,P13,4,2,5,2,4,2,4,1,4,3,4,3,2,3,2,3,2,3,3,2,3,3,2,4,4,5,5,6,2,1,1,1,4,3,1,19,21,15,8,17,16,,22.5,2.5,2.6666666666666665,4.8,4.2,4.5,11.166666666666666
2025/08/05 15:53:29,P14,2,3,2,4,4,4,2,4,2,4,4,3,3,5,6,6,5,5,5,5,5,6,5,5,5,5,5,5,5,5,2,2,1,1,2,16,17,7,14,10,10,,62.5,4.666666666666667,5.166666666666667,5.0,3.0,4.0,9.5
2025/08/05 16:02:14,P14,3,3,1,5,4,4,4,4,2,4,1,6,6,6,6,7,7,3,6,6,5,4,4,5,5,5,5,5,5,5,2,2,1,1,1,14,19,7,19,14,7,,70.0,6.333333333333333,4.666666666666667,5.0,3.0,4.0,10.166666666666666
2025/08/05 16:17:55,P14,4,2,4,2,5,4,2,3,4,3,3,5,5,5,6,5,6,6,7,7,5,7,6,5,5,5,5,5,5,5,2,2,2,2,2,18,7,7,17,18,18,,40.0,5.333333333333333,6.333333333333333,5.0,2.8,3.9,8.833333333333334
2025/08/05 16:55:17,P14,1,4,4,3,3,4,4,4,4,5,2,6,6,6,6,5,5,5,6,6,6,4,4,6,6,6,6,6,6,6,2,2,2,2,2,11,7,8,15,18,16,,57.5,5.666666666666667,5.166666666666667,6.0,2.4,4.2,7.5
